timestamp,hours,water_level_cm,rise_rate_cm_per_s,soil_moisture_pct,humidity_pct,temp_c,risk_index,alert_tier,rain_active,dht_ok,ultra_valid
T+000.00h,0.0,5,0.0,60,92,28.0,20.1,SAFE,False,True,True
T+000.02h,0.017,5,0.0,60,92,27.6,20.1,SAFE,False,True,True
T+000.03h,0.033,5,0.0,60,92,27.3,20.1,SAFE,False,True,True
T+000.05h,0.05,5,0.0,60,92,26.6,20.1,SAFE,False,True,True
T+000.07h,0.067,5,0.0,60,92,26.2,20.1,SAFE,False,True,True
T+000.08h,0.083,5,0.0,60,92,26.0,20.1,SAFE,False,True,True
T+000.10h,0.1,5,0.0,60,92,27.6,20.1,SAFE,False,True,True
T+000.12h,0.117,5,0.0,60,92,27.1,20.1,SAFE,False,True,True
T+000.13h,0.133,5,0.0,60,92,27.4,20.1,SAFE,False,True,True
T+000.15h,0.15,5.03,0.0005,60,92,26.8,20.1,SAFE,False,True,True
T+000.17h,0.167,5,-0.0005,60,92,26.9,20.1,SAFE,False,True,True
T+000.18h,0.183,5,0.0,60,92,26.5,20.1,SAFE,False,True,True
T+000.20h,0.2,5,0.0,60,92,27.3,20.1,SAFE,False,True,False
T+000.22h,0.217,5,0.0,60,92,26.8,20.1,SAFE,False,True,True
T+000.23h,0.233,5.26,0.0044,60,92,27.1,20.2,SAFE,False,True,True
T+000.25h,0.25,5,-0.0044,60,92,28.4,20.2,SAFE,False,True,True
T+000.27h,0.267,5.42,0.007,60,92,26.3,20.2,SAFE,False,True,True
T+000.28h,0.283,5.4,-0.0003,60,92,26.7,20.1,SAFE,False,True,True
T+000.30h,0.3,5.19,-0.0035,60,92,27.6,20.2,SAFE,False,True,True
T+000.32h,0.317,5,-0.0032,60,92,25.8,20.2,SAFE,False,True,True
T+000.33h,0.333,5,0.0,60,92,26.7,20.1,SAFE,False,True,True
T+000.35h,0.35,5,0.0,60,92,27.3,20.1,SAFE,False,True,True
T+000.37h,0.367,5,0.0,60,92,27.0,20.1,SAFE,False,True,True
T+000.38h,0.383,5.64,0.0107,60,92,26.4,20.2,SAFE,False,True,True
T+000.40h,0.4,5.69,0.0009,60,92,27.3,20.1,SAFE,False,True,True
T+000.42h,0.417,5.47,-0.0038,60,92,27.6,20.2,SAFE,False,True,True
T+000.43h,0.433,5,-0.0078,60,92,27.3,20.2,SAFE,False,True,True
T+000.45h,0.45,5,0.0,60,92,26.9,20.1,SAFE,False,True,False
T+000.47h,0.467,5,0.0,60,92,27.1,20.1,SAFE,False,True,True
T+000.48h,0.483,5,0.0,60,92,26.4,20.1,SAFE,False,True,True
T+000.50h,0.5,5,0.0,60,92,27.2,20.1,SAFE,False,True,True
T+000.52h,0.517,5,0.0,60,92,27.3,20.1,SAFE,False,True,True
T+000.53h,0.533,5,0.0,60,92,26.4,20.1,SAFE,False,True,True
T+000.55h,0.55,5,0.0,60,92,26.5,20.1,SAFE,False,True,True
T+000.57h,0.567,5,0.0,60,92,26.5,20.1,SAFE,False,True,True
T+000.58h,0.583,5.44,0.0073,60,92,26.8,20.2,SAFE,False,True,True
T+000.60h,0.6,5.39,-0.0008,60,92,27.2,20.1,SAFE,False,True,True
T+000.62h,0.617,5.14,-0.0042,60,92,26.7,20.2,SAFE,False,True,True
T+000.63h,0.633,5.1,-0.0006,60,92,28.3,20.1,SAFE,False,True,True
T+000.65h,0.65,5,-0.0017,60,92,26.6,20.1,SAFE,False,True,True
T+000.67h,0.667,5,0.0,60,92,26.7,20.1,SAFE,False,True,True
T+000.68h,0.683,5,0.0,60,92,26.9,20.1,SAFE,False,True,True
T+000.70h,0.7,5,0.0,60,92,26.6,20.1,SAFE,False,True,True
T+000.72h,0.717,5,0.0,60,92,27.1,20.1,SAFE,False,True,True
T+000.73h,0.733,5,0.0,60,92,27.1,20.1,SAFE,False,True,True
T+000.75h,0.75,5,0.0,60,92,27.4,20.1,SAFE,False,True,True
T+000.77h,0.767,5,0.0,60,92,26.7,20.1,SAFE,False,True,True
T+000.78h,0.783,5,0.0,60,92,27.3,20.1,SAFE,False,True,True
T+000.80h,0.8,5.02,0.0004,60,92,26.4,20.1,SAFE,False,True,True
T+000.82h,0.817,5,-0.0004,60,92,27.3,20.1,SAFE,False,True,True
T+000.83h,0.833,5.14,0.0023,60,92,27.4,20.1,SAFE,False,True,True
T+000.85h,0.85,5,-0.0023,60,92,26.9,20.1,SAFE,False,True,True
T+000.87h,0.867,5,0.0,60,92,26.6,20.1,SAFE,False,True,True
T+000.88h,0.883,5,0.0,60,92,26.7,20.1,SAFE,False,True,True
T+000.90h,0.9,5,0.0,60,92,27.3,20.1,SAFE,False,True,True
T+000.92h,0.917,5.01,0.0002,60,92,27.1,20.1,SAFE,False,True,False
T+000.93h,0.933,5,-0.0002,60,92,27.6,20.1,SAFE,False,True,True
T+000.95h,0.95,5,0.0,60,92,27.0,20.1,SAFE,False,True,True
T+000.97h,0.967,5,0.0,60,92,26.8,20.1,SAFE,False,True,True
T+000.98h,0.983,5,0.0,60,92,27.9,20.1,SAFE,False,True,True
T+001.00h,1.0,5.13,0.0022,60.0,92.5,27.5,20.2,SAFE,True,True,True
T+001.02h,1.017,5.27,0.0022,60.1,93.0,26.7,20.3,SAFE,True,True,True
T+001.03h,1.033,5.4,0.0022,60.1,93.5,26.7,20.3,SAFE,True,True,True
T+001.05h,1.05,5.53,0.0022,60.1,94.0,27.0,20.4,SAFE,True,True,True
T+001.07h,1.067,5.67,0.0022,60.2,94.5,26.3,20.4,SAFE,True,True,True
T+001.08h,1.083,5.8,0.0022,60.2,95.0,27.2,20.5,SAFE,True,True,False
T+001.10h,1.1,5.93,0.0022,60.2,95.5,27.2,20.5,SAFE,True,True,True
T+001.12h,1.117,6.07,0.0022,60.3,96.0,26.5,20.5,SAFE,True,True,True
T+001.13h,1.133,6.2,0.0022,60.3,96.5,26.7,20.5,SAFE,True,True,True
T+001.15h,1.15,6.33,0.0022,60.3,97.0,26.8,20.5,SAFE,True,True,True
T+001.17h,1.167,6.47,0.0022,60.4,97.5,26.5,20.5,SAFE,True,True,True
T+001.18h,1.183,6.6,0.0022,60.4,98,28.3,20.5,SAFE,True,False,True
T+001.20h,1.2,6.73,0.0022,60.4,98,27.1,20.5,SAFE,True,True,True
T+001.22h,1.217,6.87,0.0022,60.5,98,26.4,20.5,SAFE,True,True,True
T+001.23h,1.233,7.0,0.0022,60.5,98,27.3,20.6,SAFE,True,True,True
T+001.25h,1.25,7.13,0.0022,60.5,98,26.9,20.6,SAFE,True,True,True
T+001.27h,1.267,7.27,0.0022,60.6,98,27.0,20.6,SAFE,True,True,True
T+001.28h,1.283,7.4,0.0022,60.6,98,26.0,20.6,SAFE,True,True,True
T+001.30h,1.3,7.53,0.0022,60.6,98,27.2,20.6,SAFE,True,True,True
T+001.32h,1.317,7.67,0.0022,60.7,98,27.1,20.6,SAFE,True,True,True
T+001.33h,1.333,7.8,0.0022,60.7,98,27.0,20.6,SAFE,True,True,True
T+001.35h,1.35,7.93,0.0022,60.7,98,26.9,20.6,SAFE,True,True,True
T+001.37h,1.367,8.07,0.0022,60.8,98,26.3,20.6,SAFE,True,True,True
T+001.38h,1.383,8.2,0.0022,60.8,98,26.4,20.6,SAFE,True,True,True
T+001.40h,1.4,8.33,0.0022,60.8,98,26.6,20.6,SAFE,True,True,True
T+001.42h,1.417,8.47,0.0022,60.9,98,26.5,20.7,SAFE,True,True,True
T+001.43h,1.433,8.6,0.0022,60.9,98,26.9,20.7,SAFE,True,True,True
T+001.45h,1.45,8.73,0.0022,60.9,98,26.4,20.7,SAFE,True,True,True
T+001.47h,1.467,8.87,0.0022,61.0,98,27.1,20.7,SAFE,True,True,True
T+001.48h,1.483,9.0,0.0022,61.0,98,26.9,20.7,SAFE,True,True,False
T+001.50h,1.5,9.13,0.0022,61.0,98,27.3,20.7,SAFE,True,True,True
T+001.52h,1.517,9.27,0.0022,61.1,98,26.6,20.7,SAFE,True,True,True
T+001.53h,1.533,9.4,0.0022,61.1,98,27.6,20.7,SAFE,True,True,True
T+001.55h,1.55,9.53,0.0022,61.1,98,26.7,20.7,SAFE,True,True,True
T+001.57h,1.567,9.67,0.0022,61.2,98,25.8,20.7,SAFE,True,True,True
T+001.58h,1.583,9.8,0.0022,61.2,98,27.3,20.8,SAFE,True,True,True
T+001.60h,1.6,9.93,0.0022,61.2,98,26.1,20.8,SAFE,True,True,True
T+001.62h,1.617,10.07,0.0022,61.3,98,27.2,20.9,SAFE,True,True,True
T+001.63h,1.633,10.2,0.0022,61.3,98,27.2,21.1,SAFE,True,True,True
T+001.65h,1.65,10.33,0.0022,61.3,98,26.9,21.3,SAFE,True,True,True
T+001.67h,1.667,10.47,0.0022,61.4,98,27.3,21.6,SAFE,True,True,False
T+001.68h,1.683,10.6,0.0022,61.4,98,27.5,21.8,SAFE,True,True,True
T+001.70h,1.7,10.73,0.0022,61.4,98,27.8,22.0,SAFE,True,True,False
T+001.72h,1.717,10.87,0.0022,61.5,98,26.8,22.3,SAFE,True,True,True
T+001.73h,1.733,11.0,0.0022,61.5,98,26.8,22.5,SAFE,True,True,True
T+001.75h,1.75,11.13,0.0022,61.5,98,28.0,22.7,SAFE,True,True,True
T+001.77h,1.767,11.27,0.0022,61.6,98,27.3,23.0,SAFE,True,True,True
T+001.78h,1.783,11.4,0.0022,61.6,98,26.6,23.2,SAFE,True,True,True
T+001.80h,1.8,11.53,0.0022,61.6,98,26.3,23.4,SAFE,True,True,True
T+001.82h,1.817,11.67,0.0022,61.7,98,27.2,23.7,SAFE,True,True,True
T+001.83h,1.833,11.8,0.0022,61.7,98,27.2,23.9,SAFE,True,True,True
T+001.85h,1.85,11.93,0.0022,61.7,98,27.2,24.1,SAFE,True,True,True
T+001.87h,1.867,12.07,0.0022,61.8,98,27.1,24.4,SAFE,True,True,True
T+001.88h,1.883,12.2,0.0022,61.8,98,26.9,24.6,SAFE,True,True,True
T+001.90h,1.9,12.33,0.0022,61.8,98,27.5,24.8,SAFE,True,True,True
T+001.92h,1.917,12.47,0.0022,61.9,98,26.9,25.1,SAFE,True,True,True
T+001.93h,1.933,12.6,0.0022,61.9,98,27.2,25.3,SAFE,True,True,True
T+001.95h,1.95,12.73,0.0022,61.9,98,27.0,25.5,SAFE,True,True,True
T+001.97h,1.967,12.87,0.0022,62.0,98,27.9,25.8,SAFE,True,True,True
T+001.98h,1.983,13.0,0.0022,62.0,98,27.0,26.0,SAFE,True,True,True
T+002.00h,2.0,13.13,0.0022,62.0,98,26.5,26.2,SAFE,True,True,True
T+002.02h,2.017,13.27,0.0022,62.1,98,27.1,26.5,SAFE,True,True,True
T+002.03h,2.033,13.4,0.0022,62.1,98,27.9,26.7,SAFE,True,True,True
T+002.05h,2.05,13.53,0.0022,62.1,98,27.1,26.9,SAFE,True,True,True
T+002.07h,2.067,13.67,0.0022,62.2,98,26.5,27.1,SAFE,True,True,True
T+002.08h,2.083,13.8,0.0022,62.2,98,27.2,27.4,SAFE,True,False,True
T+002.10h,2.1,13.93,0.0022,62.2,98,26.9,27.6,SAFE,True,True,True
T+002.12h,2.117,14.07,0.0022,62.3,98,27.0,27.8,SAFE,True,True,True
T+002.13h,2.133,14.2,0.0022,62.3,98,26.3,28.1,SAFE,True,True,True
T+002.15h,2.15,14.33,0.0022,62.3,98,26.8,28.3,SAFE,True,True,True
T+002.17h,2.167,14.47,0.0022,62.4,98,26.3,28.5,SAFE,True,True,True
T+002.18h,2.183,14.6,0.0022,62.4,98,26.6,28.8,SAFE,True,True,True
T+002.20h,2.2,14.73,0.0022,62.4,98,26.9,29.0,SAFE,True,True,True
T+002.22h,2.217,14.87,0.0022,62.5,98,25.9,29.2,SAFE,True,False,True
T+002.23h,2.233,15.0,0.0022,62.5,98,26.8,29.5,SAFE,True,True,True
T+002.25h,2.25,15.13,0.0022,62.5,98,27.2,29.7,SAFE,True,True,True
T+002.27h,2.267,15.27,0.0022,62.6,98,26.3,29.9,SAFE,True,True,True
T+002.28h,2.283,15.4,0.0022,62.6,98,27.1,30.2,SAFE,True,True,True
T+002.30h,2.3,15.53,0.0022,62.6,98,27.4,30.4,SAFE,True,True,True
T+002.32h,2.317,15.67,0.0022,62.7,98,28.1,30.6,SAFE,True,True,True
T+002.33h,2.333,15.8,0.0022,62.7,98,28.1,30.9,SAFE,True,True,True
T+002.35h,2.35,15.93,0.0022,62.7,98,27.0,31.1,SAFE,True,True,True
T+002.37h,2.367,16.07,0.0022,62.8,98,26.7,31.3,SAFE,True,True,True
T+002.38h,2.383,16.2,0.0022,62.8,98,27.1,31.6,SAFE,True,True,True
T+002.40h,2.4,16.33,0.0022,62.8,98,26.2,31.8,SAFE,True,True,True
T+002.42h,2.417,16.47,0.0022,62.9,98,26.7,32.0,SAFE,True,True,True
T+002.43h,2.433,16.6,0.0022,62.9,98,26.7,32.2,SAFE,True,True,True
T+002.45h,2.45,16.73,0.0022,62.9,98,27.0,32.5,SAFE,True,True,True
T+002.47h,2.467,16.87,0.0022,63.0,98,26.5,32.7,SAFE,True,True,True
T+002.48h,2.483,17.0,0.0022,63.0,98,27.6,32.9,SAFE,True,True,True
T+002.50h,2.5,17.13,0.0022,63.0,98,26.6,33.2,SAFE,True,True,True
T+002.52h,2.517,17.27,0.0022,63.1,98,27.2,33.4,SAFE,True,True,True
T+002.53h,2.533,17.4,0.0022,63.1,98,26.2,33.6,SAFE,True,True,True
T+002.55h,2.55,17.53,0.0022,63.1,98,26.7,33.9,SAFE,True,True,True
T+002.57h,2.567,17.67,0.0022,63.2,98,27.6,34.1,SAFE,True,True,True
T+002.58h,2.583,17.8,0.0022,63.2,98,27.1,34.3,SAFE,True,True,True
T+002.60h,2.6,17.93,0.0022,63.2,98,26.8,34.6,SAFE,True,True,True
T+002.62h,2.617,18.07,0.0022,63.3,98,26.6,34.8,SAFE,True,True,True
T+002.63h,2.633,18.2,0.0022,63.3,98,27.4,35.0,SAFE,True,True,True
T+002.65h,2.65,18.33,0.0022,63.3,98,26.5,35.3,SAFE,True,True,True
T+002.67h,2.667,18.47,0.0022,63.4,98,27.0,35.5,SAFE,True,True,True
T+002.68h,2.683,18.6,0.0022,63.4,98,27.1,35.7,SAFE,True,True,True
T+002.70h,2.7,18.73,0.0022,63.4,98,26.8,36.0,SAFE,True,True,True
T+002.72h,2.717,18.87,0.0022,63.5,98,27.2,36.2,SAFE,True,True,True
T+002.73h,2.733,19.0,0.0022,63.5,98,26.8,36.4,SAFE,True,True,True
T+002.75h,2.75,19.13,0.0022,63.5,98,26.2,36.7,SAFE,True,True,True
T+002.77h,2.767,19.27,0.0022,63.6,98,27.9,36.9,SAFE,True,True,True
T+002.78h,2.783,19.4,0.0022,63.6,98,27.3,37.1,SAFE,True,True,True
T+002.80h,2.8,19.53,0.0022,63.6,98,27.1,37.3,SAFE,True,True,True
T+002.82h,2.817,19.67,0.0022,63.7,98,27.1,37.6,SAFE,True,True,True
T+002.83h,2.833,19.8,0.0022,63.7,98,26.7,37.8,SAFE,True,True,False
T+002.85h,2.85,19.93,0.0022,63.7,98,27.2,38.0,SAFE,True,True,True
T+002.87h,2.867,20.07,0.0022,63.8,98,27.9,38.3,SAFE,True,True,True
T+002.88h,2.883,20.2,0.0022,63.8,98,26.4,38.5,SAFE,True,True,True
T+002.90h,2.9,20.33,0.0022,63.8,98,27.3,38.7,SAFE,True,True,True
T+002.92h,2.917,20.47,0.0022,63.9,98,26.9,39.0,SAFE,True,True,True
T+002.93h,2.933,20.6,0.0022,63.9,98,26.3,39.2,SAFE,True,True,True
T+002.95h,2.95,20.73,0.0022,63.9,98,26.0,39.4,SAFE,True,True,True
T+002.97h,2.967,20.87,0.0022,64.0,98,27.3,39.7,SAFE,True,True,True
T+002.98h,2.983,21.0,0.0022,64.0,98,27.1,39.9,SAFE,True,True,True
T+003.00h,3.0,21.13,0.0022,64.0,98,27.5,40.1,WARNING,True,True,True
T+003.02h,3.017,21.27,0.0022,64.1,98,26.4,40.4,WARNING,True,True,True
T+003.03h,3.033,21.4,0.0022,64.1,98,26.2,40.6,WARNING,True,True,True
T+003.05h,3.05,21.53,0.0022,64.1,98,26.8,40.8,WARNING,True,True,True
T+003.07h,3.067,21.67,0.0022,64.2,98,26.9,41.1,WARNING,True,True,True
T+003.08h,3.083,21.8,0.0022,64.2,98,27.6,41.3,WARNING,True,True,True
T+003.10h,3.1,21.93,0.0022,64.2,98,27.2,41.5,WARNING,True,True,True
T+003.12h,3.117,22.07,0.0022,64.3,98,27.3,41.8,WARNING,True,True,True
T+003.13h,3.133,22.2,0.0022,64.3,98,26.9,42.0,WARNING,True,False,True
T+003.15h,3.15,22.33,0.0022,64.3,98,27.4,42.2,WARNING,True,True,True
T+003.17h,3.167,22.47,0.0022,64.4,98,26.6,42.5,WARNING,True,True,True
T+003.18h,3.183,22.6,0.0022,64.4,98,27.1,42.7,WARNING,True,True,False
T+003.20h,3.2,22.73,0.0022,64.4,98,26.9,42.9,WARNING,True,True,True
T+003.22h,3.217,22.87,0.0022,64.5,98,27.0,43.1,WARNING,True,True,True
T+003.23h,3.233,23.0,0.0022,64.5,98,27.2,43.4,WARNING,True,True,True
T+003.25h,3.25,23.13,0.0022,64.5,98,27.4,43.6,WARNING,True,True,True
T+003.27h,3.267,23.27,0.0022,64.6,98,27.2,43.8,WARNING,True,True,True
T+003.28h,3.283,23.4,0.0022,64.6,98,27.2,44.1,WARNING,True,True,True
T+003.30h,3.3,23.53,0.0022,64.6,98,27.0,44.3,WARNING,True,True,True
T+003.32h,3.317,23.67,0.0022,64.7,98,26.3,44.5,WARNING,True,True,True
T+003.33h,3.333,23.8,0.0022,64.7,98,27.7,44.8,WARNING,True,True,True
T+003.35h,3.35,23.93,0.0022,64.7,98,26.2,45.0,WARNING,True,True,True
T+003.37h,3.367,24.07,0.0022,64.8,98,27.0,45.2,WARNING,True,True,True
T+003.38h,3.383,24.2,0.0022,64.8,98,26.5,45.5,WARNING,True,True,True
T+003.40h,3.4,24.33,0.0022,64.8,98,27.3,45.7,WARNING,True,True,True
T+003.42h,3.417,24.47,0.0022,64.9,98,27.7,45.9,WARNING,True,True,True
T+003.43h,3.433,24.6,0.0022,64.9,98,26.8,46.2,WARNING,True,True,True
T+003.45h,3.45,24.73,0.0022,64.9,98,26.8,46.4,WARNING,True,True,True
T+003.47h,3.467,24.87,0.0022,65.0,98,27.1,46.6,WARNING,True,True,True
T+003.48h,3.483,25.0,0.0022,65.0,98,27.9,46.9,WARNING,True,True,True
T+003.50h,3.5,25.13,0.0022,65.0,98,26.9,47.1,WARNING,True,True,True
T+003.52h,3.517,25.27,0.0022,65.1,98,27.6,47.3,WARNING,True,True,True
T+003.53h,3.533,25.4,0.0022,65.1,98,27.0,47.6,WARNING,True,True,True
T+003.55h,3.55,25.53,0.0022,65.1,98,27.5,47.8,WARNING,True,True,False
T+003.57h,3.567,25.67,0.0022,65.2,98,26.8,48.0,WARNING,True,True,True
T+003.58h,3.583,25.8,0.0022,65.2,98,26.6,48.2,WARNING,True,True,True
T+003.60h,3.6,25.93,0.0022,65.2,98,26.5,48.5,WARNING,True,True,False
T+003.62h,3.617,26.07,0.0022,65.3,98,26.8,48.7,WARNING,True,True,True
T+003.63h,3.633,26.2,0.0022,65.3,98,27.5,48.9,WARNING,True,True,True
T+003.65h,3.65,26.33,0.0022,65.3,98,26.4,49.2,WARNING,True,True,True
T+003.67h,3.667,26.47,0.0022,65.4,98,27.3,49.4,WARNING,True,True,True
T+003.68h,3.683,26.6,0.0022,65.4,98,26.9,49.6,WARNING,True,True,True
T+003.70h,3.7,26.73,0.0022,65.4,98,27.8,49.9,WARNING,True,True,True
T+003.72h,3.717,26.87,0.0022,65.5,98,26.3,50.1,WARNING,True,True,True
T+003.73h,3.733,27.0,0.0022,65.5,98,27.2,50.3,WARNING,True,False,True
T+003.75h,3.75,27.13,0.0022,65.5,98,25.9,50.6,WARNING,True,True,False
T+003.77h,3.767,27.27,0.0022,65.6,98,27.2,50.8,WARNING,True,True,True
T+003.78h,3.783,27.4,0.0022,65.6,98,27.0,51.0,WARNING,True,True,True
T+003.80h,3.8,27.53,0.0022,65.6,98,26.4,51.3,WARNING,True,True,True
T+003.82h,3.817,27.67,0.0022,65.7,98,27.4,51.5,WARNING,True,True,False
T+003.83h,3.833,27.8,0.0022,65.7,98,26.4,51.7,WARNING,True,True,True
T+003.85h,3.85,27.93,0.0022,65.7,98,26.8,52.0,WARNING,True,True,True
T+003.87h,3.867,28.07,0.0022,65.8,98,27.2,52.2,WARNING,True,True,True
T+003.88h,3.883,28.2,0.0022,65.8,98,27.5,52.4,WARNING,True,False,True
T+003.90h,3.9,28.33,0.0022,65.8,98,26.8,52.7,WARNING,True,True,False
T+003.92h,3.917,28.47,0.0022,65.9,98,26.9,52.9,WARNING,True,True,True
T+003.93h,3.933,28.6,0.0022,65.9,98,27.2,53.1,WARNING,True,True,True
T+003.95h,3.95,28.73,0.0022,65.9,98,26.5,53.3,WARNING,True,True,True
T+003.97h,3.967,28.87,0.0022,66.0,98,27.0,53.6,WARNING,True,True,True
T+003.98h,3.983,29.0,0.0022,66.0,98,27.3,53.8,WARNING,True,True,True
T+004.00h,4.0,29.13,0.0022,66.0,98,27.9,54.0,WARNING,True,True,True
T+004.02h,4.017,29.27,0.0022,66.1,98,26.3,54.3,WARNING,True,True,True
T+004.03h,4.033,29.4,0.0022,66.1,98,26.8,54.5,WARNING,True,True,True
T+004.05h,4.05,29.53,0.0022,66.1,98,27.1,54.7,WARNING,True,True,True
T+004.07h,4.067,29.67,0.0022,66.2,98,27.1,55.0,WARNING,True,True,True
T+004.08h,4.083,29.8,0.0022,66.2,98,27.1,55.2,WARNING,True,True,True
T+004.10h,4.1,29.93,0.0022,66.2,98,26.7,55.4,WARNING,True,True,True
T+004.12h,4.117,30.07,0.0022,66.3,98,27.0,55.7,WARNING,True,True,True
T+004.13h,4.133,30.2,0.0022,66.3,98,27.6,55.9,WARNING,True,True,True
T+004.15h,4.15,30.33,0.0022,66.3,98,28.1,56.1,WARNING,True,True,True
T+004.17h,4.167,30.47,0.0022,66.4,98,27.4,56.4,WARNING,True,True,True
T+004.18h,4.183,30.6,0.0022,66.4,98,26.5,56.6,WARNING,True,True,True
T+004.20h,4.2,30.73,0.0022,66.4,98,27.1,56.8,WARNING,True,True,True
T+004.22h,4.217,30.87,0.0022,66.5,98,26.5,57.1,WARNING,True,True,True
T+004.23h,4.233,31.0,0.0022,66.5,98,27.3,57.3,WARNING,True,False,True
T+004.25h,4.25,31.13,0.0022,66.5,98,27.8,57.5,WARNING,True,True,True
T+004.27h,4.267,31.27,0.0022,66.6,98,27.1,57.8,WARNING,True,True,True
T+004.28h,4.283,31.4,0.0022,66.6,98,27.2,58.0,WARNING,True,True,True
