timestamp,hours,water_level_cm,rise_rate_cm_per_s,soil_moisture_pct,humidity_pct,temp_c,risk_index,alert_tier,rain_active,dht_ok,ultra_valid
T+000.00h,0.0,8.36,0.0012,35,78,29.3,11.7,SAFE,False,True,True
T+000.08h,0.083,8.25,-0.0004,35,78,30.1,11.7,SAFE,False,True,True
T+000.17h,0.167,8.64,0.0013,35,78,30.0,11.7,SAFE,False,True,True
T+000.25h,0.25,8.45,-0.0007,35,78,30.1,11.7,SAFE,False,True,True
T+000.33h,0.333,8.13,-0.0011,35,78,29.3,11.7,SAFE,False,True,True
T+000.42h,0.417,6.23,-0.0063,35,78,29.5,11.7,SAFE,False,True,True
T+000.50h,0.5,5.08,-0.0038,35,78,29.9,11.7,SAFE,False,True,True
T+000.58h,0.583,5.08,0.0,35,78,30.5,11.7,SAFE,False,True,True
T+000.67h,0.667,5.59,0.0017,35,78,29.5,11.7,SAFE,False,True,True
T+000.75h,0.75,5.32,-0.0009,35,78,29.8,11.7,SAFE,False,True,True
T+000.83h,0.833,5.52,0.0007,35,78,29.9,11.7,SAFE,False,True,True
T+000.92h,0.917,5.76,0.0008,35,78,30.0,11.7,SAFE,False,True,True
T+001.00h,1.0,5.31,-0.0015,35,78,30.2,11.7,SAFE,False,True,True
T+001.08h,1.083,3.91,-0.0047,35,78,30.3,11.7,SAFE,False,True,True
T+001.17h,1.167,2.81,-0.0036,35,78,30.0,11.7,SAFE,False,True,True
T+001.25h,1.25,2.8,-0.0,35,78,30.0,11.7,SAFE,False,True,True
T+001.33h,1.333,2.33,-0.0016,35,78,29.7,11.7,SAFE,False,True,True
T+001.42h,1.417,1.46,-0.0029,35,78,28.9,11.7,SAFE,False,True,True
T+001.50h,1.5,1.6,0.0005,35,78,30.5,11.7,SAFE,False,True,True
T+001.58h,1.583,0.52,-0.0036,35,78,30.1,11.7,SAFE,False,True,True
T+001.67h,1.667,0.55,0.0001,35,78,29.6,11.7,SAFE,False,True,True
T+001.75h,1.75,1.16,0.002,35,78,29.9,11.7,SAFE,False,True,True
T+001.83h,1.833,1.59,0.0014,35,78,30.1,11.7,SAFE,False,True,True
