timestamp,hours,water_level_cm,rise_rate_cm_per_s,soil_moisture_pct,humidity_pct,temp_c,risk_index,alert_tier,rain_active,dht_ok,ultra_valid
T+000.00h,0.0,44.61,-0.0013,70,75,31.5,71.6,WARNING,False,True,True
T+000.08h,0.083,43.87,-0.0025,70,75,31.9,71.6,WARNING,False,True,True
T+000.17h,0.167,44.68,0.0027,70,75,31.4,71.6,WARNING,False,True,True
T+000.25h,0.25,45.08,0.0013,70,75,30.9,71.6,WARNING,False,True,True
T+000.33h,0.333,43.77,-0.0044,70,75,31.7,71.6,WARNING,False,True,True
T+000.42h,0.417,45.38,0.0054,70,75,30.7,71.6,WARNING,False,True,True
T+000.50h,0.5,45.94,0.0019,70,75,31.2,71.6,WARNING,False,True,True
T+000.58h,0.583,45.03,-0.003,70,75,31.2,71.6,WARNING,False,True,True
T+000.67h,0.667,45.33,0.001,70,75,31.3,71.6,WARNING,False,True,True
T+000.75h,0.75,46.73,0.0047,70,75,30.8,71.6,WARNING,False,True,True
T+000.83h,0.833,44.6,-0.0071,70,75,30.5,71.6,WARNING,False,True,True
T+000.92h,0.917,44.23,-0.0012,70,75,30.7,71.6,WARNING,False,True,True
T+001.00h,1.0,44.87,0.0021,70,75,30.8,71.6,WARNING,False,True,True
T+001.08h,1.083,42.48,-0.008,70,75,31.0,71.6,WARNING,False,True,True
T+001.17h,1.167,44.71,0.0074,70,75,31.1,71.6,WARNING,False,True,True
T+001.25h,1.25,46.11,0.0047,70,75,31.1,71.6,WARNING,False,True,True
T+001.33h,1.333,44.23,-0.0063,70,75,29.5,71.6,WARNING,False,True,True
T+001.42h,1.417,45.6,0.0046,70,75,31.6,71.6,WARNING,False,True,True
T+001.50h,1.5,45.01,-0.002,70,75,30.9,71.6,WARNING,False,True,True
T+001.58h,1.583,46.0,0.0033,70,75,31.0,71.6,WARNING,False,True,True
T+001.67h,1.667,45.12,-0.0029,70,75,30.8,71.6,WARNING,False,True,True
T+001.75h,1.75,46.13,0.0034,70,75,31.2,71.6,WARNING,False,True,True
T+001.83h,1.833,44.26,-0.0062,70,75,31.0,71.6,WARNING,False,True,True
T+001.92h,1.917,43.71,-0.0018,70,75,31.5,71.6,WARNING,False,True,True
T+002.00h,2.0,46.37,0.0089,70,75,30.9,71.6,WARNING,False,True,True
T+002.08h,2.083,44.11,-0.0075,70,75,31.0,71.6,WARNING,False,True,True
T+002.17h,2.167,44.97,0.0029,70,75,30.4,71.6,WARNING,False,True,True
T+002.25h,2.25,45.0,0.0001,70,75,29.8,71.6,WARNING,False,True,True
T+002.33h,2.333,44.19,-0.0027,70,75,31.2,71.6,WARNING,False,True,True
T+002.42h,2.417,44.66,0.0016,70,75,31.2,71.6,WARNING,False,True,True
T+002.50h,2.5,46.8,0.0071,70,75,31.8,71.6,WARNING,False,True,True
T+002.58h,2.583,43.34,-0.0115,70,75,31.3,71.6,WARNING,False,True,True
T+002.67h,2.667,46.45,0.0104,70,75,30.9,71.6,WARNING,False,True,True
T+002.75h,2.75,45.88,-0.0019,70,75,31.3,71.6,WARNING,False,True,True
T+002.83h,2.833,44.99,-0.003,70,75,31.4,71.6,WARNING,False,True,True
T+002.92h,2.917,44.7,-0.001,70,75,31.0,71.6,WARNING,False,True,True
T+003.00h,3.0,44.51,-0.0007,70,75,31.2,71.6,WARNING,False,True,True
T+003.08h,3.083,44.62,0.0004,70,75,30.3,71.6,WARNING,False,True,True
T+003.17h,3.167,44.17,-0.0015,70,75,30.7,71.6,WARNING,False,True,False
T+003.25h,3.25,44.27,0.0003,70,75,31.6,71.6,WARNING,False,True,True
T+003.33h,3.333,45.14,0.0029,70,75,30.7,71.6,WARNING,False,True,True
T+003.42h,3.417,45.8,0.0022,70,75,31.6,71.6,WARNING,False,True,True
T+003.50h,3.5,45.05,-0.0025,70,75,30.9,71.6,WARNING,False,True,True
T+003.58h,3.583,45.33,0.0009,70,75,30.2,71.6,WARNING,False,True,True
T+003.67h,3.667,44.04,-0.0043,70,75,31.3,71.6,WARNING,False,True,True
T+003.75h,3.75,45.44,0.0047,70,75,30.6,71.6,WARNING,False,True,True
T+003.83h,3.833,47.1,0.0055,70,75,30.4,71.6,WARNING,False,True,True
T+003.92h,3.917,45.25,-0.0062,70,75,30.7,71.6,WARNING,False,True,True
T+004.00h,4.0,46.18,0.0031,70,75,31.3,71.6,WARNING,False,True,True
T+004.08h,4.083,44.76,-0.0047,70,75,31.0,71.6,WARNING,False,True,True
T+004.17h,4.167,45.39,0.0021,70,75,30.3,71.6,WARNING,False,True,True
T+004.25h,4.25,45.59,0.0007,70,75,31.4,71.6,WARNING,False,True,True
T+004.33h,4.333,46.07,0.0016,70,75,30.4,71.6,WARNING,False,True,True
T+004.42h,4.417,43.74,-0.0078,70,75,31.3,71.6,WARNING,False,True,True
T+004.50h,4.5,46.08,0.0078,70,75,30.5,71.6,WARNING,False,True,True
T+004.58h,4.583,44.41,-0.0056,70,75,31.6,71.6,WARNING,False,True,True
T+004.67h,4.667,44.76,0.0012,70,75,31.5,71.6,WARNING,False,True,True
T+004.75h,4.75,45.34,0.002,70,75,31.0,71.6,WARNING,False,True,True
T+004.83h,4.833,44.91,-0.0015,70,75,30.5,71.6,WARNING,False,True,True
T+004.92h,4.917,46.48,0.0052,70,75,30.5,71.6,WARNING,False,True,True
T+005.00h,5.0,45.3,-0.0039,70,75,31.3,71.6,WARNING,False,True,True
T+005.08h,5.083,47.79,0.0083,70,75,30.8,71.6,WARNING,False,True,True
T+005.17h,5.167,43.48,-0.0144,70,75,31.6,71.6,WARNING,False,True,True
T+005.25h,5.25,46.11,0.0088,70,75,30.9,71.6,WARNING,False,True,False
T+005.33h,5.333,42.91,-0.0107,70,75,30.5,71.6,WARNING,False,True,True
T+005.42h,5.417,44.98,0.0069,70,75,30.9,71.6,WARNING,False,True,True
T+005.50h,5.5,46.43,0.0048,70,75,31.1,71.6,WARNING,False,True,True
T+005.58h,5.583,46.56,0.0004,70,75,31.7,71.6,WARNING,False,True,True
T+005.67h,5.667,44.3,-0.0075,70,75,30.4,71.6,WARNING,False,True,True
T+005.75h,5.75,44.79,0.0016,70,75,31.0,71.6,WARNING,False,True,True
T+005.83h,5.833,43.66,-0.0038,70,75,31.6,71.6,WARNING,False,True,True
T+005.92h,5.917,45.02,0.0045,70,75,31.6,71.6,WARNING,False,True,True
T+006.00h,6.0,44.63,-0.0013,70,75,30.8,71.6,WARNING,False,True,False
T+006.08h,6.083,43.86,-0.0026,70,75,31.1,71.6,WARNING,False,True,True
T+006.17h,6.167,44.48,0.0021,70,75,30.7,71.6,WARNING,False,True,True
T+006.25h,6.25,43.29,-0.004,70,75,30.5,71.6,WARNING,False,True,False
T+006.33h,6.333,45.44,0.0072,70,75,31.8,71.6,WARNING,False,False,True
T+006.42h,6.417,44.37,-0.0036,70,75,31.2,71.6,WARNING,False,True,True
T+006.50h,6.5,47.21,0.0095,70,75,30.6,71.6,WARNING,False,True,True
T+006.58h,6.583,45.07,-0.0071,70,75,31.0,71.6,WARNING,False,True,True
T+006.67h,6.667,46.35,0.0043,70,75,30.9,71.6,WARNING,False,True,True
T+006.75h,6.75,46.33,-0.0001,70,75,31.1,71.6,WARNING,False,True,True
T+006.83h,6.833,45.26,-0.0036,70,75,31.1,71.6,WARNING,False,True,True
T+006.92h,6.917,45.01,-0.0008,70,75,31.4,71.6,WARNING,False,True,True
T+007.00h,7.0,46.0,0.0033,70,75,31.4,71.6,WARNING,False,True,True
T+007.08h,7.083,45.04,-0.0032,70,75,30.4,71.6,WARNING,False,True,False
T+007.17h,7.167,45.12,0.0003,70,75,30.2,71.6,WARNING,False,True,True
T+007.25h,7.25,44.73,-0.0013,70,75,31.3,71.6,WARNING,False,True,True
T+007.33h,7.333,44.45,-0.0009,70,75,30.8,71.6,WARNING,False,True,True
T+007.42h,7.417,43.65,-0.0027,70,75,30.9,71.6,WARNING,False,True,True
T+007.50h,7.5,44.54,0.003,70,75,30.8,71.6,WARNING,False,True,True
T+007.58h,7.583,43.77,-0.0026,70,75,30.3,71.6,WARNING,False,True,False
T+007.67h,7.667,45.22,0.0048,70,75,30.5,71.6,WARNING,False,True,True
T+007.75h,7.75,42.94,-0.0076,70,75,30.6,71.6,WARNING,False,True,True
T+007.83h,7.833,46.55,0.012,70,75,31.9,71.6,WARNING,False,True,True
T+007.92h,7.917,44.95,-0.0053,70,75,30.5,71.6,WARNING,False,True,True
T+008.00h,8.0,43.2,-0.0058,70,75,30.6,71.6,WARNING,False,True,False
T+008.08h,8.083,46.12,0.0097,70,75,30.9,71.6,WARNING,False,False,True
T+008.17h,8.167,45.63,-0.0016,70,75,30.7,71.6,WARNING,False,True,True
T+008.25h,8.25,43.99,-0.0055,70,75,31.1,71.6,WARNING,False,True,True
T+008.33h,8.333,43.79,-0.0007,70,75,31.1,71.6,WARNING,False,True,True
T+008.42h,8.417,45.4,0.0054,70,75,31.3,71.6,WARNING,False,True,True
T+008.50h,8.5,46.09,0.0023,70,75,31.4,71.6,WARNING,False,True,True
T+008.58h,8.583,44.6,-0.005,70,75,31.7,71.6,WARNING,False,True,True
T+008.67h,8.667,44.28,-0.0011,70,75,31.1,71.6,WARNING,False,True,True
T+008.75h,8.75,44.18,-0.0003,70,75,31.6,71.6,WARNING,False,True,True
T+008.83h,8.833,46.48,0.0077,70,75,30.3,71.6,WARNING,False,True,True
T+008.92h,8.917,44.8,-0.0056,70,75,31.3,71.6,WARNING,False,True,True
T+009.00h,9.0,44.54,-0.0009,70,75,31.6,71.6,WARNING,False,True,True
T+009.08h,9.083,44.94,0.0014,70,75,30.7,71.6,WARNING,False,True,True
T+009.17h,9.167,45.38,0.0015,70,75,30.6,71.6,WARNING,False,True,True
T+009.25h,9.25,46.46,0.0036,70,75,31.1,71.6,WARNING,False,True,True
T+009.33h,9.333,46.75,0.001,70,75,30.5,71.6,WARNING,False,True,True
T+009.42h,9.417,44.18,-0.0086,70,75,31.1,71.6,WARNING,False,True,True
T+009.50h,9.5,44.23,0.0002,70,75,31.1,71.6,WARNING,False,True,True
T+009.58h,9.583,44.09,-0.0005,70,75,31.7,71.6,WARNING,False,True,False
T+009.67h,9.667,45.87,0.0059,70,75,31.3,71.6,WARNING,False,True,True
T+009.75h,9.75,45.46,-0.0013,70,75,31.7,71.6,WARNING,False,True,True
T+009.83h,9.833,45.52,0.0002,70,75,31.4,71.6,WARNING,False,True,True
T+009.92h,9.917,46.42,0.003,70,75,30.6,71.6,WARNING,False,True,True
T+010.00h,10.0,45.7,-0.0024,70,75,31.2,71.6,WARNING,False,True,True
T+010.08h,10.083,45.25,-0.0015,70,75,30.9,71.6,WARNING,False,True,True
T+010.17h,10.167,43.35,-0.0063,70,75,30.4,71.6,WARNING,False,True,True
T+010.25h,10.25,45.0,0.0055,70,75,30.8,71.6,WARNING,False,True,True
T+010.33h,10.333,46.03,0.0034,70,75,30.4,71.6,WARNING,False,True,True
T+010.42h,10.417,44.92,-0.0037,70,75,30.8,71.6,WARNING,False,True,True
T+010.50h,10.5,45.2,0.0009,70,75,31.0,71.6,WARNING,False,True,True
T+010.58h,10.583,47.32,0.0071,70,75,31.1,71.6,WARNING,False,True,True
T+010.67h,10.667,45.25,-0.0069,70,75,31.0,71.6,WARNING,False,True,True
T+010.75h,10.75,44.0,-0.0042,70,75,30.8,71.6,WARNING,False,True,True
T+010.83h,10.833,45.64,0.0055,70,75,31.5,71.6,WARNING,False,True,True
T+010.92h,10.917,43.02,-0.0087,70,75,30.6,71.6,WARNING,False,True,True
T+011.00h,11.0,44.71,0.0056,70,75,32.3,71.6,WARNING,False,True,True
T+011.08h,11.083,44.54,-0.0005,70,75,29.7,71.6,WARNING,False,True,True
T+011.17h,11.167,45.53,0.0033,70,75,31.4,71.6,WARNING,False,True,True
T+011.25h,11.25,46.68,0.0038,70,75,31.5,71.6,WARNING,False,True,True
