timestamp,hours,water_level_cm,rise_rate_cm_per_s,soil_moisture_pct,humidity_pct,temp_c,risk_index,alert_tier,rain_active,dht_ok,ultra_valid
T+000.00h,0.0,7.3,0.0043,50,82,29.1,16.4,SAFE,False,True,True
T+000.08h,0.083,6.57,-0.0024,50,82,28.5,16.4,SAFE,False,True,True
T+000.17h,0.167,8.02,0.0048,50,82,28.6,16.4,SAFE,False,True,True
T+000.25h,0.25,5.0,-0.0101,50,82,28.7,16.4,SAFE,False,True,True
T+000.33h,0.333,7.56,0.0085,50,82,29.1,16.4,SAFE,False,True,True
T+000.42h,0.417,6.45,-0.0037,50,82,29.6,16.4,SAFE,False,True,True
T+000.50h,0.5,5.32,-0.0038,50,82,29.2,16.4,SAFE,False,True,True
T+000.58h,0.583,7.26,0.0065,50,82,28.6,16.4,SAFE,False,True,True
T+000.67h,0.667,5.46,-0.006,50,82,29.3,16.4,SAFE,False,True,True
T+000.75h,0.75,6.3,0.0028,50,82,28.7,16.4,SAFE,False,True,True
T+000.83h,0.833,8.27,0.0066,50,82,29.0,16.4,SAFE,False,True,True
T+000.92h,0.917,8.16,-0.0003,50,82,29.2,16.4,SAFE,False,True,True
T+001.00h,1.0,6.56,-0.0053,50,82,29.6,16.4,SAFE,False,True,True
T+001.08h,1.083,9.46,0.0097,50,82,29.3,16.4,SAFE,False,True,False
T+001.17h,1.167,9.38,-0.0003,50,82,29.6,16.4,SAFE,False,True,True
T+001.25h,1.25,7.04,-0.0078,50,82,28.5,16.4,SAFE,False,True,True
T+001.33h,1.333,8.23,0.0039,50,82,29.2,16.4,SAFE,False,True,True
T+001.42h,1.417,6.15,-0.0069,50,82,28.8,16.4,SAFE,False,True,True
T+001.50h,1.5,10.12,0.0132,50,82,28.3,16.6,SAFE,False,False,True
T+001.58h,1.583,8.63,-0.005,50,82,28.1,16.4,SAFE,False,True,True
T+001.67h,1.667,9.49,0.0028,50,82,29.4,16.4,SAFE,False,True,True
T+001.75h,1.75,8.63,-0.0028,50,82,28.5,16.4,SAFE,False,True,True
T+001.83h,1.833,8.29,-0.0011,50,82,29.2,16.4,SAFE,False,True,True
T+001.92h,1.917,7.74,-0.0019,50,82,29.2,16.4,SAFE,False,True,True
