date,water_level_ft
2017-08-24T00:00:00.000-05:00,73.83
2017-08-24T00:15:00.000-05:00,73.83
2017-08-24T00:30:00.000-05:00,73.83
2017-08-24T00:45:00.000-05:00,73.84
2017-08-24T01:00:00.000-05:00,73.84
2017-08-24T01:15:00.000-05:00,73.85
2017-08-24T01:30:00.000-05:00,73.85
2017-08-24T01:45:00.000-05:00,73.86
2017-08-24T02:00:00.000-05:00,73.86
2017-08-24T02:15:00.000-05:00,73.87
2017-08-24T02:30:00.000-05:00,73.87
2017-08-24T02:45:00.000-05:00,73.88
2017-08-24T03:00:00.000-05:00,73.88
2017-08-24T03:15:00.000-05:00,73.89
2017-08-24T03:30:00.000-05:00,73.89
2017-08-24T03:45:00.000-05:00,73.9
2017-08-24T04:00:00.000-05:00,73.9
2017-08-24T04:15:00.000-05:00,73.9
2017-08-24T04:30:00.000-05:00,73.9
2017-08-24T04:45:00.000-05:00,73.9
2017-08-24T05:00:00.000-05:00,73.9
2017-08-24T05:15:00.000-05:00,73.91
2017-08-24T05:30:00.000-05:00,73.9
2017-08-24T05:45:00.000-05:00,73.9
2017-08-24T06:00:00.000-05:00,73.9
2017-08-24T06:15:00.000-05:00,73.9
2017-08-24T06:30:00.000-05:00,73.9
2017-08-24T06:45:00.000-05:00,73.89
2017-08-24T07:00:00.000-05:00,73.89
2017-08-24T07:15:00.000-05:00,73.89
2017-08-24T07:30:00.000-05:00,73.89
2017-08-24T07:45:00.000-05:00,73.89
2017-08-24T08:00:00.000-05:00,73.89
2017-08-24T08:15:00.000-05:00,73.89
2017-08-24T08:30:00.000-05:00,73.89
2017-08-24T08:45:00.000-05:00,73.89
2017-08-24T09:00:00.000-05:00,73.89
2017-08-24T09:15:00.000-05:00,73.89
2017-08-24T09:30:00.000-05:00,73.89
2017-08-24T09:45:00.000-05:00,73.89
2017-08-24T10:00:00.000-05:00,73.9
2017-08-24T10:15:00.000-05:00,73.9
2017-08-24T10:30:00.000-05:00,73.9
2017-08-24T10:45:00.000-05:00,73.91
2017-08-24T11:00:00.000-05:00,73.9
2017-08-24T11:15:00.000-05:00,73.91
2017-08-24T11:30:00.000-05:00,73.91
2017-08-24T11:45:00.000-05:00,73.91
2017-08-24T12:00:00.000-05:00,73.9
2017-08-24T12:15:00.000-05:00,73.9
2017-08-24T12:30:00.000-05:00,73.9
2017-08-24T12:45:00.000-05:00,73.9
2017-08-24T13:00:00.000-05:00,73.9
2017-08-24T13:15:00.000-05:00,73.9
2017-08-24T13:30:00.000-05:00,73.9
2017-08-24T13:45:00.000-05:00,73.9
2017-08-24T14:00:00.000-05:00,73.9
2017-08-24T14:15:00.000-05:00,73.89
2017-08-24T14:30:00.000-05:00,73.9
2017-08-24T14:45:00.000-05:00,73.9
2017-08-24T15:00:00.000-05:00,73.9
2017-08-24T15:15:00.000-05:00,73.91
2017-08-24T15:30:00.000-05:00,73.9
2017-08-24T15:45:00.000-05:00,73.89
2017-08-24T16:00:00.000-05:00,73.89
2017-08-24T16:15:00.000-05:00,73.89
2017-08-24T16:30:00.000-05:00,73.89
2017-08-24T16:45:00.000-05:00,73.89
2017-08-24T17:00:00.000-05:00,73.88
2017-08-24T17:15:00.000-05:00,73.88
2017-08-24T17:30:00.000-05:00,73.88
2017-08-24T17:45:00.000-05:00,73.88
2017-08-24T18:00:00.000-05:00,73.88
2017-08-24T18:15:00.000-05:00,73.87
2017-08-24T18:30:00.000-05:00,73.88
2017-08-24T18:45:00.000-05:00,73.87
2017-08-24T19:00:00.000-05:00,73.88
2017-08-24T19:15:00.000-05:00,73.87
2017-08-24T19:30:00.000-05:00,73.87
2017-08-24T19:45:00.000-05:00,73.87
2017-08-24T20:00:00.000-05:00,73.87
2017-08-24T20:15:00.000-05:00,73.87
2017-08-24T20:30:00.000-05:00,73.87
2017-08-24T20:45:00.000-05:00,73.87
2017-08-24T21:00:00.000-05:00,73.87
2017-08-24T21:15:00.000-05:00,73.87
2017-08-24T21:30:00.000-05:00,73.87
2017-08-24T21:45:00.000-05:00,73.88
2017-08-24T22:00:00.000-05:00,73.87
2017-08-24T22:15:00.000-05:00,73.87
2017-08-24T22:30:00.000-05:00,73.87
2017-08-24T22:45:00.000-05:00,73.87
2017-08-24T23:00:00.000-05:00,73.87
2017-08-24T23:15:00.000-05:00,73.86
2017-08-24T23:30:00.000-05:00,73.86
2017-08-24T23:45:00.000-05:00,73.87
2017-08-25T00:00:00.000-05:00,73.86
2017-08-25T00:15:00.000-05:00,73.86
2017-08-25T00:30:00.000-05:00,73.86
2017-08-25T00:45:00.000-05:00,73.86
2017-08-25T01:00:00.000-05:00,73.86
2017-08-25T01:15:00.000-05:00,73.87
2017-08-25T01:30:00.000-05:00,73.86
2017-08-25T01:45:00.000-05:00,73.86
2017-08-25T02:00:00.000-05:00,73.86
2017-08-25T02:15:00.000-05:00,73.87
2017-08-25T02:30:00.000-05:00,73.87
2017-08-25T02:45:00.000-05:00,73.87
2017-08-25T03:00:00.000-05:00,73.87
2017-08-25T03:15:00.000-05:00,73.87
2017-08-25T03:30:00.000-05:00,73.87
2017-08-25T03:45:00.000-05:00,73.87
2017-08-25T04:00:00.000-05:00,73.87
2017-08-25T04:15:00.000-05:00,73.87
2017-08-25T04:30:00.000-05:00,73.87
2017-08-25T04:45:00.000-05:00,73.87
2017-08-25T05:00:00.000-05:00,73.86
2017-08-25T05:15:00.000-05:00,73.86
2017-08-25T05:30:00.000-05:00,73.86
2017-08-25T05:45:00.000-05:00,73.86
2017-08-25T06:00:00.000-05:00,73.86
2017-08-25T06:15:00.000-05:00,73.86
2017-08-25T06:30:00.000-05:00,73.86
2017-08-25T06:45:00.000-05:00,73.86
2017-08-25T07:00:00.000-05:00,73.86
2017-08-25T07:15:00.000-05:00,73.86
2017-08-25T07:30:00.000-05:00,73.86
2017-08-25T07:45:00.000-05:00,73.86
2017-08-25T08:00:00.000-05:00,73.86
2017-08-25T08:15:00.000-05:00,73.85
2017-08-25T08:30:00.000-05:00,73.86
2017-08-25T08:45:00.000-05:00,73.86
2017-08-25T09:00:00.000-05:00,73.85
2017-08-25T09:15:00.000-05:00,73.85
2017-08-25T09:30:00.000-05:00,73.82
2017-08-25T09:45:00.000-05:00,73.83
2017-08-25T10:00:00.000-05:00,73.83
2017-08-25T10:15:00.000-05:00,73.83
2017-08-25T10:30:00.000-05:00,73.83
2017-08-25T10:45:00.000-05:00,73.84
2017-08-25T11:00:00.000-05:00,73.83
2017-08-25T11:15:00.000-05:00,73.83
2017-08-25T11:30:00.000-05:00,73.83
2017-08-25T11:45:00.000-05:00,73.83
2017-08-25T12:00:00.000-05:00,73.83
2017-08-25T12:15:00.000-05:00,73.82
2017-08-25T12:30:00.000-05:00,73.82
2017-08-25T12:45:00.000-05:00,73.81
2017-08-25T13:00:00.000-05:00,73.81
2017-08-25T13:15:00.000-05:00,73.82
2017-08-25T13:30:00.000-05:00,73.82
2017-08-25T13:45:00.000-05:00,73.82
2017-08-25T14:00:00.000-05:00,73.83
2017-08-25T14:15:00.000-05:00,73.83
2017-08-25T14:30:00.000-05:00,73.8
2017-08-25T14:45:00.000-05:00,73.81
2017-08-25T15:00:00.000-05:00,73.82
2017-08-25T15:15:00.000-05:00,73.83
2017-08-25T15:30:00.000-05:00,73.81
2017-08-25T15:45:00.000-05:00,73.81
2017-08-25T16:00:00.000-05:00,73.82
2017-08-25T16:15:00.000-05:00,73.82
2017-08-25T16:30:00.000-05:00,73.82
2017-08-25T16:45:00.000-05:00,73.84
2017-08-25T17:00:00.000-05:00,73.84
2017-08-25T17:15:00.000-05:00,73.85
2017-08-25T17:30:00.000-05:00,73.85
2017-08-25T17:45:00.000-05:00,73.85
2017-08-25T18:00:00.000-05:00,73.86
2017-08-25T18:15:00.000-05:00,73.86
2017-08-25T18:30:00.000-05:00,73.86
2017-08-25T18:45:00.000-05:00,73.87
2017-08-25T19:00:00.000-05:00,73.87
2017-08-25T19:15:00.000-05:00,73.87
2017-08-25T19:30:00.000-05:00,73.87
2017-08-25T19:45:00.000-05:00,73.87
2017-08-25T20:00:00.000-05:00,73.87
2017-08-25T20:15:00.000-05:00,73.88
2017-08-25T20:30:00.000-05:00,73.88
2017-08-25T20:45:00.000-05:00,73.87
2017-08-25T21:00:00.000-05:00,73.88
2017-08-25T21:15:00.000-05:00,73.88
2017-08-25T21:30:00.000-05:00,73.88
2017-08-25T21:45:00.000-05:00,73.88
2017-08-25T22:00:00.000-05:00,73.86
2017-08-25T22:15:00.000-05:00,73.86
2017-08-25T22:30:00.000-05:00,73.85
2017-08-25T22:45:00.000-05:00,73.85
2017-08-25T23:00:00.000-05:00,73.87
2017-08-25T23:15:00.000-05:00,73.87
2017-08-25T23:30:00.000-05:00,73.87
2017-08-25T23:45:00.000-05:00,73.89
2017-08-26T00:00:00.000-05:00,73.86
2017-08-26T00:15:00.000-05:00,73.89
2017-08-26T00:30:00.000-05:00,73.89
2017-08-26T00:45:00.000-05:00,73.9
2017-08-26T01:00:00.000-05:00,73.91
2017-08-26T01:15:00.000-05:00,73.9
2017-08-26T01:30:00.000-05:00,73.9
2017-08-26T01:45:00.000-05:00,73.93
2017-08-26T02:00:00.000-05:00,73.94
2017-08-26T02:15:00.000-05:00,73.95
2017-08-26T02:30:00.000-05:00,73.96
2017-08-26T02:45:00.000-05:00,73.98
2017-08-26T03:00:00.000-05:00,73.99
2017-08-26T03:15:00.000-05:00,74.0
