timestamp,hours,water_level_cm,rise_rate_cm_per_h,soil_moisture_pct,humidity_pct,temp_c,risk_index,alert_tier,rain_active,dht_ok,ultra_valid
T+000.00h,0.0,12.15,64.5444,85,95,26.6,46.2,WARNING,False,True,True
T+000.03h,0.033,12.16,0.3586,85,95,25.7,32.3,SAFE,False,True,True
T+000.07h,0.067,13.69,45.7424,85,95,25.7,48.8,WARNING,False,True,True
T+000.10h,0.1,11.83,-55.7409,85,95,27.0,45.7,WARNING,False,True,True
T+000.13h,0.133,10.24,-47.7063,85,95,26.1,43.0,WARNING,False,True,False
T+000.17h,0.167,10.21,-0.9575,85,95,26.6,30.9,SAFE,False,True,True
T+000.20h,0.2,5,-156.2407,85,95,25.2,42.6,WARNING,False,True,True
T+000.23h,0.233,8.45,103.5617,85,95,26.7,42.6,WARNING,False,True,True
T+000.27h,0.267,10.58,63.9055,85,95,25.9,43.6,WARNING,False,True,True
T+000.30h,0.3,9.06,-45.6972,85,95,26.2,42.6,WARNING,False,True,True
T+000.33h,0.333,11.41,70.4569,85,95,25.9,45.0,WARNING,False,True,True
T+000.37h,0.367,10.94,-14.0508,85,95,24.8,44.2,WARNING,False,True,True
T+000.40h,0.4,8.56,-71.4309,85,95,25.3,42.6,WARNING,False,False,True
T+000.43h,0.433,8.03,-15.7006,85,95,26.2,42.6,WARNING,False,True,True
T+000.47h,0.467,6.69,-40.4646,85,95,25.6,42.6,WARNING,False,True,True
T+000.50h,0.5,5.59,-32.986,85,95,26.1,42.6,WARNING,False,True,True
T+000.53h,0.533,5,-17.594,85,95,26.3,42.6,WARNING,False,True,True
T+000.57h,0.567,6.14,34.1301,85,95,25.8,42.6,WARNING,False,True,True
T+000.60h,0.6,9.42,98.3509,85,95,25.5,42.6,WARNING,False,True,True
T+000.63h,0.633,9.64,6.6617,85,95,26.2,42.6,WARNING,False,True,True
T+000.67h,0.667,7.32,-69.3958,85,95,25.7,42.6,WARNING,False,True,True
T+000.70h,0.7,11.32,119.8908,85,95,24.9,44.9,WARNING,False,True,True
T+000.73h,0.733,12.93,48.3212,85,95,25.7,47.5,WARNING,False,True,True
T+000.77h,0.767,12.89,-1.125,85,95,26.6,35.8,WARNING,False,True,True
T+000.80h,0.8,14.14,37.2764,85,95,26.0,49.5,WARNING,False,True,True
T+000.83h,0.833,14.3,4.7943,85,95,26.6,49.2,WARNING,False,True,True
T+000.87h,0.867,18.45,124.5454,85,95,26.5,56.7,WARNING,False,True,True
T+000.90h,0.9,19.97,45.6151,85,95,25.6,59.3,WARNING,False,True,True
T+000.93h,0.933,16.96,-90.363,85,95,26.5,54.2,WARNING,False,True,True
T+000.97h,0.967,20.72,112.9648,85,95,25.8,60.5,WARNING,False,True,True
T+001.00h,1.0,17.85,-86.1859,85,95,26.6,55.7,WARNING,False,True,True
T+001.03h,1.033,13.96,-116.7254,85,95,26.5,49.2,WARNING,False,True,True
T+001.07h,1.067,16.3,70.3727,85,95,25.5,53.2,WARNING,False,True,True
T+001.10h,1.1,17.94,48.9285,85,95,25.4,55.9,WARNING,False,True,True
T+001.13h,1.133,21.77,114.9271,85,95,26.1,62.3,WARNING,False,True,True
T+001.17h,1.167,27.26,164.8094,85,95,26.7,71.4,WARNING,False,True,True
T+001.20h,1.2,28.6,40.2532,85,95,25.7,73.7,WARNING,False,True,True
T+001.23h,1.233,30.84,67.1262,85,95,25.9,77.4,EVACUATE,False,True,False
T+001.27h,1.267,21.95,-266.6966,85,95,26.4,62.6,EVACUATE,False,True,True
T+001.30h,1.3,23.25,39.0007,85,95,26.8,64.7,EVACUATE,False,True,True
T+001.33h,1.333,20.99,-67.8119,85,95,26.3,61.0,EVACUATE,False,True,True
T+001.37h,1.367,22.67,50.3738,85,95,25.6,63.8,EVACUATE,False,True,True
T+001.40h,1.4,23.78,33.3544,85,95,25.7,65.6,EVACUATE,False,True,True
T+001.43h,1.433,23.03,-22.5471,85,95,25.3,64.4,EVACUATE,False,True,True
T+001.47h,1.467,24.18,34.4997,85,95,26.5,66.3,EVACUATE,False,True,True
T+001.50h,1.5,20.97,-96.2801,85,95,26.7,60.9,EVACUATE,False,True,True
T+001.53h,1.533,23.53,76.8753,85,95,25.9,65.2,EVACUATE,False,True,True
T+001.57h,1.567,27.44,117.4011,85,95,25.6,71.7,EVACUATE,False,True,True
T+001.60h,1.6,24.51,-88.0615,85,95,25.9,66.8,EVACUATE,False,True,True
T+001.63h,1.633,27.92,102.3622,85,95,26.4,72.5,EVACUATE,False,True,True
T+001.67h,1.667,27.52,-11.9803,85,95,26.8,71.9,EVACUATE,False,True,True
T+001.70h,1.7,28.76,37.0499,85,95,25.9,73.9,EVACUATE,False,True,True
T+001.73h,1.733,30.66,57.0806,85,95,25.7,77.1,EVACUATE,False,True,True
T+001.77h,1.767,33.9,97.2958,85,95,26.0,82.5,EVACUATE,False,True,True
T+001.80h,1.8,32.71,-35.6598,85,95,25.7,80.5,EVACUATE,False,True,True
T+001.83h,1.833,34.95,67.1573,85,95,26.0,84.2,EVACUATE,False,True,True
T+001.87h,1.867,35.05,3.0192,85,95,26.1,78.5,EVACUATE,False,True,False
T+001.90h,1.9,30.7,-130.7546,85,95,25.4,77.1,EVACUATE,False,True,True
T+001.93h,1.933,27.88,-84.4358,85,95,25.8,72.5,EVACUATE,False,True,True
T+001.97h,1.967,23.5,-131.4271,85,95,25.2,65.1,EVACUATE,False,True,True
T+002.00h,2.0,21.22,-68.4424,85,95,24.6,61.3,EVACUATE,False,True,True
T+002.03h,2.033,16.8,-132.4285,85,95,26.8,54.0,EVACUATE,False,True,True
T+002.07h,2.067,12.1,-141.2654,85,95,27.0,46.1,EVACUATE,False,True,True
T+002.10h,2.1,14.35,67.523,85,95,26.0,49.9,EVACUATE,False,True,True
T+002.13h,2.133,19.56,156.4946,85,95,25.9,58.6,EVACUATE,False,True,True
T+002.17h,2.167,17.45,-63.4298,85,95,26.8,55.1,EVACUATE,False,True,True
T+002.20h,2.2,16.57,-26.2138,85,95,25.3,53.6,EVACUATE,False,True,True
T+002.23h,2.233,12.75,-114.8296,85,95,26.1,47.2,EVACUATE,False,True,True
T+002.27h,2.267,9.54,-96.333,85,95,26.0,42.6,EVACUATE,False,True,True
T+002.30h,2.3,5.97,-107.0886,85,95,25.8,42.6,EVACUATE,False,True,True
T+002.33h,2.333,7.11,34.2855,85,95,25.8,42.6,EVACUATE,False,True,True
T+002.37h,2.367,6.35,-22.7183,85,95,25.4,42.6,EVACUATE,False,True,True
T+002.40h,2.4,5.56,-23.6992,85,95,25.4,42.6,EVACUATE,False,True,True
T+002.43h,2.433,7.64,62.4208,85,95,26.0,42.6,EVACUATE,False,True,True
T+002.47h,2.467,6.42,-36.7536,85,95,25.6,42.6,EVACUATE,False,True,True
T+002.50h,2.5,8.0,47.3965,85,95,25.9,42.6,EVACUATE,False,True,True
T+002.53h,2.533,7.86,-4.1351,85,95,26.1,40.1,EVACUATE,False,True,True
T+002.57h,2.567,6.91,-28.6018,85,95,26.2,42.6,EVACUATE,False,True,True
T+002.60h,2.6,5,-57.169,85,95,25.8,42.6,EVACUATE,False,True,True
T+002.63h,2.633,5,0.0,85,95,25.5,27.6,WARNING,False,True,True
T+002.67h,2.667,5,0.0,85,95,25.5,27.6,SAFE,False,True,True
T+002.70h,2.7,8.7,110.908,85,95,25.8,42.6,WARNING,False,True,True
T+002.73h,2.733,5,-110.908,85,95,26.4,42.6,WARNING,False,True,True
T+002.77h,2.767,7.32,69.4709,85,95,26.3,42.6,WARNING,False,True,True
T+002.80h,2.8,5.4,-57.4922,85,95,26.0,42.6,WARNING,False,True,True
T+002.83h,2.833,9.63,126.9141,85,95,25.9,42.6,WARNING,False,True,True
T+002.87h,2.867,9.03,-18.0681,85,95,26.0,42.6,WARNING,False,True,True
T+002.90h,2.9,11.73,81.0457,85,95,26.2,45.5,WARNING,False,True,True
T+002.93h,2.933,11.44,-8.5545,85,95,26.0,45.1,WARNING,False,True,False
T+002.97h,2.967,14.64,95.8874,85,95,25.6,50.4,WARNING,False,True,True
T+003.00h,3.0,16.22,47.2531,85,95,26.6,53.0,WARNING,False,True,True
