timestamp,hours,water_level_cm,rise_rate_cm_per_h,soil_moisture_pct,humidity_pct,temp_c,risk_index,alert_tier,rain_active,dht_ok,ultra_valid
T+000.00h,0.0,8.36,4.3722,35,78,29.3,24.8,SAFE,False,True,True
T+000.08h,0.083,8.25,-1.3725,35,78,30.1,15.8,SAFE,False,True,True
T+000.17h,0.167,8.64,4.6965,35,78,30.0,25.8,SAFE,False,True,True
T+000.25h,0.25,8.45,-2.3432,35,78,30.1,18.7,SAFE,False,True,True
T+000.33h,0.333,8.13,-3.815,35,78,29.3,23.1,SAFE,False,True,True
T+000.42h,0.417,6.23,-22.8058,35,78,29.5,26.7,SAFE,False,True,True
T+000.50h,0.5,5.08,-13.83,35,78,29.9,26.7,SAFE,False,True,True
T+000.58h,0.583,5.08,0.0741,35,78,30.5,11.9,SAFE,False,True,True
T+000.67h,0.667,5.59,6.1061,35,78,29.5,26.7,SAFE,False,True,True
T+000.75h,0.75,5.32,-3.2647,35,78,29.8,21.5,SAFE,False,True,True
T+000.83h,0.833,5.52,2.421,35,78,29.9,19.0,SAFE,False,True,True
T+000.92h,0.917,5.76,2.8422,35,78,30.0,20.2,SAFE,False,True,True
T+001.00h,1.0,5.31,-5.4081,35,78,30.2,26.7,SAFE,False,True,True
T+001.08h,1.083,3.91,-16.8025,35,78,30.3,26.7,SAFE,False,True,True
T+001.17h,1.167,2.81,-13.0994,35,78,30.0,26.7,SAFE,False,True,True
T+001.25h,1.25,2.8,-0.1553,35,78,30.0,12.2,SAFE,False,True,True
T+001.33h,1.333,2.33,-5.6229,35,78,29.7,26.7,SAFE,False,True,True
T+001.42h,1.417,1.46,-10.446,35,78,28.9,26.7,SAFE,False,True,True
T+001.50h,1.5,1.6,1.6778,35,78,30.5,16.7,SAFE,False,True,True
T+001.58h,1.583,0.52,-12.9818,35,78,30.1,26.7,SAFE,False,True,True
T+001.67h,1.667,0.55,0.373,35,78,29.6,12.8,SAFE,False,True,True
T+001.75h,1.75,1.16,7.2931,35,78,29.9,26.7,SAFE,False,True,True
T+001.83h,1.833,1.59,5.1683,35,78,30.1,26.7,SAFE,False,True,True
T+001.92h,1.917,1.53,-0.7609,35,78,29.8,14.0,SAFE,False,True,True
T+002.00h,2.0,2.2,8.1409,35,78,29.8,26.7,SAFE,False,True,True
T+002.08h,2.083,2.13,-0.8904,35,78,29.8,14.4,SAFE,False,True,True
T+002.17h,2.167,2.65,6.2672,35,78,29.4,26.7,SAFE,False,True,True
T+002.25h,2.25,1.63,-12.2454,35,78,29.0,26.7,SAFE,False,True,True
T+002.33h,2.333,1.4,-2.7886,35,78,30.0,20.1,SAFE,False,True,True
T+002.42h,2.417,0.51,-10.6628,35,78,30.1,26.7,SAFE,False,True,True
T+002.50h,2.5,-0.56,-12.8348,35,78,29.6,26.7,SAFE,False,True,True
T+002.58h,2.583,-1.81,-15.0362,35,78,29.4,26.7,SAFE,False,True,True
T+002.67h,2.667,-0.16,19.8614,35,78,29.9,26.7,SAFE,False,True,True
T+002.75h,2.75,1.78,23.2678,35,78,29.7,26.7,SAFE,False,True,True
T+002.83h,2.833,0.79,-11.9193,35,78,30.4,26.7,SAFE,False,True,True
T+002.92h,2.917,0.34,-5.3623,35,78,29.1,26.7,SAFE,False,True,True
T+003.00h,3.0,0.0,-4.0542,35,78,29.8,23.9,SAFE,False,True,True
T+003.08h,3.083,-0.63,-7.5778,35,78,30.6,26.7,SAFE,False,True,True
T+003.17h,3.167,0.23,10.2931,35,78,29.8,26.7,SAFE,False,True,True
T+003.25h,3.25,0.75,6.2772,35,78,30.3,26.7,SAFE,False,True,True
T+003.33h,3.333,0.37,-4.6532,35,78,29.5,25.7,SAFE,False,True,True
T+003.42h,3.417,0.04,-3.9055,35,78,30.9,23.4,SAFE,False,True,True
T+003.50h,3.5,0.46,4.9803,35,78,30.0,26.6,SAFE,False,True,True
T+003.58h,3.583,0.46,0.0062,35,78,29.7,11.7,SAFE,False,True,True
T+003.67h,3.667,1.07,7.3414,35,78,29.4,26.7,SAFE,False,True,True
T+003.75h,3.75,2.42,16.1689,35,78,30.2,26.7,SAFE,False,True,True
T+003.83h,3.833,2.32,-1.1879,35,78,29.0,15.3,SAFE,False,True,True
T+003.92h,3.917,2.42,1.2274,35,78,30.9,15.4,SAFE,False,True,True
