timestamp,hours,water_level_cm,rise_rate_cm_per_h,soil_moisture_pct,humidity_pct,temp_c,risk_index,alert_tier,rain_active,dht_ok,ultra_valid
T+000.00h,0.0,4.86,-1.7291,15,45,27.9,9.5,SAFE,False,True,True
T+000.08h,0.083,4.87,0.198,15,45,27.3,4.9,SAFE,False,True,True
T+000.17h,0.167,4.78,-1.0724,15,45,28.1,7.6,SAFE,False,True,True
T+000.25h,0.25,5.66,10.4831,15,45,28.1,19.4,SAFE,False,True,True
T+000.33h,0.333,5.25,-4.9235,15,45,28.7,19.1,SAFE,False,True,False
T+000.42h,0.417,5.53,3.4252,15,45,27.3,14.6,SAFE,False,True,True
T+000.50h,0.5,5.87,4.0995,15,45,27.9,16.6,SAFE,False,True,True
T+000.58h,0.583,5.78,-1.0929,15,45,27.4,7.6,SAFE,False,True,True
T+000.67h,0.667,2.38,-40.8273,15,45,27.7,19.4,SAFE,False,True,True
T+000.75h,0.75,5.66,39.4105,15,45,27.4,19.4,SAFE,False,True,True
T+000.83h,0.833,4.91,-9.0061,15,45,27.9,19.4,SAFE,False,True,True
T+000.92h,0.917,5.64,8.6959,15,45,28.2,19.4,SAFE,False,True,True
T+001.00h,1.0,4.37,-15.1848,15,45,27.6,19.4,SAFE,False,True,True
T+001.08h,1.083,4.75,4.5224,15,45,29.2,17.9,SAFE,False,True,True
T+001.17h,1.167,5.77,12.2231,15,45,28.7,19.4,SAFE,False,True,True
T+001.25h,1.25,6.43,7.8945,15,45,28.0,19.4,SAFE,False,True,True
T+001.33h,1.333,5.95,-5.6814,15,45,27.3,19.4,SAFE,False,True,False
T+001.42h,1.417,4.68,-15.2219,15,45,28.4,19.4,SAFE,False,True,True
T+001.50h,1.5,5.62,11.2267,15,45,27.7,19.4,SAFE,False,True,True
T+001.58h,1.583,5.95,3.9877,15,45,27.7,16.3,SAFE,False,True,True
T+001.67h,1.667,4.28,-20.1088,15,45,27.9,19.4,SAFE,False,True,True
T+001.75h,1.75,4.43,1.8687,15,45,28.2,10.0,SAFE,False,True,True
T+001.83h,1.833,5.26,9.9492,15,45,28.1,19.4,SAFE,False,True,True
T+001.92h,1.917,5.27,0.1479,15,45,27.5,4.8,SAFE,False,True,True
T+002.00h,2.0,6.23,11.439,15,45,28.0,19.4,SAFE,False,True,True
T+002.08h,2.083,6.59,4.3934,15,45,28.1,17.5,SAFE,False,True,True
T+002.17h,2.167,4.85,-20.9291,15,45,28.7,19.4,SAFE,False,True,True
T+002.25h,2.25,2.62,-26.6981,15,45,28.4,19.4,SAFE,False,True,True
T+002.33h,2.333,4.37,20.9819,15,45,28.0,19.4,SAFE,False,True,True
T+002.42h,2.417,4.57,2.395,15,45,28.7,11.5,SAFE,False,True,True
T+002.50h,2.5,5.1,6.307,15,45,27.4,19.4,SAFE,False,True,True
T+002.58h,2.583,5.89,9.4491,15,45,28.0,19.4,SAFE,False,False,True
T+002.67h,2.667,6.37,5.7659,15,45,27.3,19.4,SAFE,False,True,True
T+002.75h,2.75,6.75,4.5604,15,45,27.2,18.0,SAFE,False,True,True
T+002.83h,2.833,6.53,-2.5461,15,45,28.4,12.0,SAFE,False,True,True
T+002.92h,2.917,3.75,-33.3807,15,45,28.1,19.4,SAFE,False,True,True
T+003.00h,3.0,4.39,7.6459,15,45,28.2,19.4,SAFE,False,True,True
T+003.08h,3.083,5.26,10.4661,15,45,28.4,19.4,SAFE,False,True,True
T+003.17h,3.167,3.88,-16.5407,15,45,28.2,19.4,SAFE,False,True,True
T+003.25h,3.25,4.3,5.0035,15,45,28.6,19.4,SAFE,False,True,True
T+003.33h,3.333,6.27,23.6923,15,45,28.3,19.4,SAFE,False,True,True
T+003.42h,3.417,5.24,-12.3644,15,45,27.9,19.4,SAFE,False,True,True
T+003.50h,3.5,5.12,-1.4999,15,45,28.3,8.8,SAFE,False,True,True
T+003.58h,3.583,3.27,-22.1434,15,45,28.1,19.4,SAFE,False,True,True
T+003.67h,3.667,5.87,31.1719,15,45,28.3,19.4,SAFE,False,True,True
T+003.75h,3.75,4.8,-12.8063,15,45,27.3,19.4,SAFE,False,True,True
T+003.83h,3.833,4.25,-6.5901,15,45,28.3,19.4,SAFE,False,True,True
T+003.92h,3.917,5.4,13.7476,15,45,28.5,19.4,SAFE,False,True,True
T+004.00h,4.0,5.0,-4.7712,15,45,29.1,18.7,SAFE,False,True,True
T+004.08h,4.083,4.69,-3.708,15,45,27.9,15.5,SAFE,False,True,True
T+004.17h,4.167,7.24,30.5663,15,45,27.8,19.4,SAFE,False,True,True
T+004.25h,4.25,4.31,-35.1796,15,45,28.0,19.4,SAFE,False,True,True
T+004.33h,4.333,2.89,-16.9721,15,45,29.0,19.4,SAFE,False,True,True
T+004.42h,4.417,3.99,13.175,15,45,28.1,19.4,SAFE,False,True,True
T+004.50h,4.5,3.5,-5.8583,15,45,27.7,19.4,SAFE,False,True,True
T+004.58h,4.583,6.29,33.428,15,45,27.9,19.4,SAFE,False,True,True
T+004.67h,4.667,6.24,-0.6017,15,45,28.2,6.2,SAFE,False,True,True
T+004.75h,4.75,6.4,1.8953,15,45,29.1,10.0,SAFE,False,True,True
T+004.83h,4.833,3.76,-31.6605,15,45,27.6,19.4,SAFE,False,True,True
T+004.92h,4.917,5.58,21.8447,15,45,27.8,19.4,SAFE,False,True,True
T+005.00h,5.0,3.84,-20.8459,15,45,28.3,19.4,SAFE,False,True,True
T+005.08h,5.083,5.45,19.2822,15,45,28.8,19.4,SAFE,False,True,True
T+005.17h,5.167,4.6,-10.1866,15,45,27.6,19.4,SAFE,False,True,True
T+005.25h,5.25,5.99,16.7187,15,45,28.2,19.4,SAFE,False,True,True
T+005.33h,5.333,5.62,-4.4865,15,45,28.2,17.8,SAFE,False,True,True
T+005.42h,5.417,6.51,10.6351,15,45,27.3,19.4,SAFE,False,True,True
T+005.50h,5.5,5.78,-8.6811,15,45,27.3,19.4,SAFE,False,True,True
T+005.58h,5.583,4.93,-10.2515,15,45,27.9,19.4,SAFE,False,True,True
T+005.67h,5.667,3.78,-13.8375,15,45,27.0,19.4,SAFE,False,True,True
T+005.75h,5.75,5.99,26.6068,15,45,28.4,19.4,SAFE,False,True,True
T+005.83h,5.833,4.86,-13.5523,15,45,27.7,19.4,SAFE,False,True,True
T+005.92h,5.917,2.83,-24.3524,15,45,28.1,19.4,SAFE,False,True,True
T+006.00h,6.0,4.29,17.4227,15,45,28.2,19.4,SAFE,False,False,True
T+006.08h,6.083,4.49,2.4745,15,45,27.7,11.8,SAFE,False,True,True
T+006.17h,6.167,4.87,4.5885,15,45,28.0,18.1,SAFE,False,True,True
T+006.25h,6.25,6.03,13.9115,15,45,27.6,19.4,SAFE,False,True,True
T+006.33h,6.333,5.31,-8.6648,15,45,28.2,19.4,SAFE,False,True,True
T+006.42h,6.417,5.57,3.065,15,45,27.0,13.5,SAFE,False,True,True
T+006.50h,6.5,5.0,-6.792,15,45,28.2,19.4,SAFE,False,True,True
T+006.58h,6.583,3.84,-13.9164,15,45,28.4,19.4,SAFE,False,True,True
T+006.67h,6.667,6.8,35.5379,15,45,27.0,19.4,SAFE,False,True,True
T+006.75h,6.75,6.61,-2.2748,15,45,28.1,11.2,SAFE,False,True,True
T+006.83h,6.833,5.64,-11.6356,15,45,27.1,19.4,SAFE,False,True,True
T+006.92h,6.917,5.11,-6.3921,15,45,27.8,19.4,SAFE,False,True,True
T+007.00h,7.0,5.32,2.4733,15,45,28.9,11.8,SAFE,False,True,True
T+007.08h,7.083,5.2,-1.3848,15,45,27.7,8.5,SAFE,False,True,True
T+007.17h,7.167,4.06,-13.7492,15,45,28.9,19.4,SAFE,False,True,True
T+007.25h,7.25,4.36,3.6851,15,45,27.6,15.4,SAFE,False,True,True
T+007.33h,7.333,5.46,13.1534,15,45,27.9,19.4,SAFE,False,True,True
T+007.42h,7.417,5.76,3.653,15,45,27.9,15.3,SAFE,False,True,True
T+007.50h,7.5,4.88,-10.5656,15,45,27.6,19.4,SAFE,False,True,True
T+007.58h,7.583,4.02,-10.4145,15,45,28.4,19.4,SAFE,False,True,True
T+007.67h,7.667,7.28,39.1658,15,45,28.0,19.4,SAFE,False,True,True
T+007.75h,7.75,4.92,-28.2561,15,45,27.3,19.4,SAFE,False,True,True
T+007.83h,7.833,4.54,-4.609,15,45,27.6,18.2,SAFE,False,True,True
T+007.92h,7.917,4.84,3.5974,15,45,27.6,15.1,SAFE,False,True,True
T+008.00h,8.0,4.32,-6.3005,15,45,28.2,19.4,SAFE,False,True,True
T+008.08h,8.083,6.4,25.0126,15,45,27.7,19.4,SAFE,False,True,True
T+008.17h,8.167,4.6,-21.5548,15,45,28.6,19.4,SAFE,False,False,True
T+008.25h,8.25,3.81,-9.5385,15,45,28.3,19.4,SAFE,False,True,True
T+008.33h,8.333,4.35,6.5194,15,45,28.1,19.4,SAFE,False,True,True
T+008.42h,8.417,5.17,9.8645,15,45,27.7,19.4,SAFE,False,True,True
T+008.50h,8.5,4.39,-9.3623,15,45,27.7,19.4,SAFE,False,True,True
T+008.58h,8.583,4.67,3.2839,15,45,27.7,14.2,SAFE,False,True,False
T+008.67h,8.667,5.04,4.4329,15,45,28.6,17.6,SAFE,False,True,True
T+008.75h,8.75,3.79,-14.9717,15,45,28.4,19.4,SAFE,False,True,True
T+008.83h,8.833,4.25,5.5608,15,45,28.0,19.4,SAFE,False,True,False
T+008.92h,8.917,5.01,9.0941,15,45,27.1,19.4,SAFE,False,True,True
T+009.00h,9.0,6.13,13.441,15,45,29.1,19.4,SAFE,False,True,True
T+009.08h,9.083,5.01,-13.4483,15,45,29.0,19.4,SAFE,False,True,True
T+009.17h,9.167,3.53,-17.7674,15,45,26.7,19.4,SAFE,False,True,True
T+009.25h,9.25,6.07,30.4783,15,45,27.6,19.4,SAFE,False,True,True
T+009.33h,9.333,5.61,-5.4969,15,45,27.4,19.4,SAFE,False,True,True
T+009.42h,9.417,4.24,-16.5093,15,45,28.1,19.4,SAFE,False,True,True
T+009.50h,9.5,5.12,10.6228,15,45,27.4,19.4,SAFE,False,True,True
T+009.58h,9.583,5.73,7.2556,15,45,28.2,19.4,SAFE,False,True,True
T+009.67h,9.667,4.47,-15.0425,15,45,27.9,19.4,SAFE,False,True,True
T+009.75h,9.75,4.9,5.1596,15,45,27.8,19.4,SAFE,False,True,True
T+009.83h,9.833,4.41,-5.8693,15,45,28.2,19.4,SAFE,False,True,True
T+009.92h,9.917,3.67,-8.9315,15,45,27.6,19.4,SAFE,False,True,True
T+010.00h,10.0,4.92,15.0298,15,45,28.0,19.4,SAFE,False,True,True
T+010.08h,10.083,6.5,18.9388,15,45,27.0,19.4,SAFE,False,True,True
T+010.17h,10.167,3.7,-33.6216,15,45,27.8,19.4,SAFE,False,True,True
T+010.25h,10.25,4.78,12.9573,15,45,28.0,19.4,SAFE,False,True,True
T+010.33h,10.333,4.5,-3.2647,15,45,28.2,14.1,SAFE,False,True,True
