timestamp,hours,water_level_cm,rise_rate_cm_per_h,soil_moisture_pct,humidity_pct,temp_c,risk_index,alert_tier,rain_active,dht_ok,ultra_valid
T+000.00h,0.0,7.3,15.5585,50,82,29.1,31.4,SAFE,False,True,True
T+000.08h,0.083,6.57,-8.7326,50,82,28.5,31.4,SAFE,False,True,True
T+000.17h,0.167,8.02,17.3656,50,82,28.6,31.4,SAFE,False,True,True
T+000.25h,0.25,5.0,-36.1839,50,82,28.7,31.4,SAFE,False,True,True
T+000.33h,0.333,7.56,30.6585,50,82,29.1,31.4,SAFE,False,True,True
T+000.42h,0.417,6.45,-13.2562,50,82,29.6,31.4,SAFE,False,True,True
T+000.50h,0.5,5.32,-13.5779,50,82,29.2,31.4,SAFE,False,True,True
T+000.58h,0.583,7.26,23.3076,50,82,28.6,31.4,SAFE,False,True,True
T+000.67h,0.667,5.46,-21.6148,50,82,29.3,31.4,SAFE,False,True,True
T+000.75h,0.75,6.3,10.0201,50,82,28.7,31.4,SAFE,False,True,True
T+000.83h,0.833,8.27,23.6504,50,82,29.0,31.4,SAFE,False,True,True
T+000.92h,0.917,8.16,-1.2376,50,82,29.2,20.1,SAFE,False,True,True
T+001.00h,1.0,6.56,-19.194,50,82,29.6,31.4,SAFE,False,True,True
T+001.08h,1.083,9.46,34.8039,50,82,29.3,31.4,SAFE,False,True,False
T+001.17h,1.167,9.38,-0.9872,50,82,29.6,19.3,SAFE,False,True,True
T+001.25h,1.25,7.04,-28.0739,50,82,28.5,31.4,SAFE,False,True,True
T+001.33h,1.333,8.23,14.2079,50,82,29.2,31.4,SAFE,False,True,True
T+001.42h,1.417,6.15,-24.9425,50,82,28.8,31.4,SAFE,False,True,True
T+001.50h,1.5,10.12,47.6764,50,82,28.3,31.6,SAFE,False,False,True
T+001.58h,1.583,8.63,-17.8306,50,82,28.1,31.4,SAFE,False,True,True
T+001.67h,1.667,9.49,10.2235,50,82,29.4,31.4,SAFE,False,True,True
T+001.75h,1.75,8.63,-10.2239,50,82,28.5,31.4,SAFE,False,True,True
T+001.83h,1.833,8.29,-4.1088,50,82,29.2,28.7,SAFE,False,True,True
T+001.92h,1.917,7.74,-6.6738,50,82,29.2,31.4,SAFE,False,True,True
T+002.00h,2.0,10.32,30.9455,50,82,28.6,31.9,SAFE,False,True,True
T+002.08h,2.083,9.5,-9.7532,50,82,29.0,31.4,SAFE,False,True,True
T+002.17h,2.167,8.31,-14.3648,50,82,28.7,31.4,SAFE,False,True,True
T+002.25h,2.25,7.91,-4.713,50,82,29.4,30.5,SAFE,False,True,True
T+002.33h,2.333,10.21,27.5338,50,82,29.4,31.7,SAFE,False,True,True
T+002.42h,2.417,9.61,-7.2014,50,82,29.7,31.4,SAFE,False,True,True
T+002.50h,2.5,13.18,42.8513,50,82,29.6,36.7,SAFE,False,True,True
T+002.58h,2.583,10.39,-33.4092,50,82,28.7,32.0,SAFE,False,True,True
T+002.67h,2.667,8.3,-25.0861,50,82,28.7,31.4,SAFE,False,True,True
T+002.75h,2.75,10.36,24.6626,50,82,29.0,32.0,SAFE,False,True,True
T+002.83h,2.833,8.05,-27.7147,50,82,28.6,31.4,SAFE,False,True,True
T+002.92h,2.917,9.4,16.1757,50,82,28.8,31.4,SAFE,False,True,True
T+003.00h,3.0,8.3,-13.1073,50,82,28.9,31.4,SAFE,False,True,True
T+003.08h,3.083,11.41,37.2966,50,82,29.0,33.7,SAFE,False,True,True
T+003.17h,3.167,11.79,4.5026,50,82,29.2,32.9,SAFE,False,True,True
T+003.25h,3.25,9.54,-26.9848,50,82,28.6,31.4,SAFE,False,True,True
T+003.33h,3.333,7.78,-21.1232,50,82,30.2,31.4,SAFE,False,True,True
T+003.42h,3.417,8.33,6.6486,50,82,29.2,31.4,SAFE,False,True,True
T+003.50h,3.5,10.59,27.0425,50,82,29.3,32.4,SAFE,False,True,True
T+003.58h,3.583,8.81,-21.299,50,82,29.1,31.4,SAFE,False,True,True
T+003.67h,3.667,8.16,-7.8463,50,82,28.0,31.4,SAFE,False,True,True
T+003.75h,3.75,9.69,18.3501,50,82,28.6,31.4,SAFE,False,True,True
T+003.83h,3.833,7.22,-29.6384,50,82,29.9,31.4,SAFE,False,True,True
T+003.92h,3.917,9.09,22.4247,50,82,28.7,31.4,SAFE,False,True,True
T+004.00h,4.0,6.91,-26.0701,50.2,82.5,28.8,31.5,SAFE,True,True,True
T+004.08h,4.083,6.76,-1.85,50.3,83.0,28.8,22.1,SAFE,True,True,True
T+004.17h,4.167,7.38,7.4449,50.5,83.5,28.9,31.7,SAFE,True,True,True
T+004.25h,4.25,11.76,52.533,50.7,84.0,29.3,34.7,SAFE,True,True,True
T+004.33h,4.333,8.37,-40.5917,50.8,84.5,29.2,31.8,SAFE,True,True,True
T+004.42h,4.417,7.75,-7.4851,51.0,85.0,28.9,31.9,SAFE,True,True,True
T+004.50h,4.5,7.07,-8.1533,51.2,85.5,29.5,32.0,SAFE,True,True,True
T+004.58h,4.583,5.72,-16.2191,51.3,86.0,28.7,32.1,SAFE,True,True,True
T+004.67h,4.667,6.94,14.6979,51.5,86.5,28.5,32.2,SAFE,True,True,True
T+004.75h,4.75,9.06,25.3663,51.7,87.0,29.0,32.3,SAFE,True,True,True
T+004.83h,4.833,10.8,20.9426,51.8,87.5,28.7,33.7,SAFE,True,True,True
T+004.92h,4.917,9.64,-13.9594,52.0,88.0,29.0,32.5,SAFE,True,True,True
T+005.00h,5.0,7.87,-21.2119,52.2,88.5,28.7,32.6,SAFE,True,True,True
T+005.08h,5.083,8.15,3.3023,52.3,89.0,29.7,27.6,SAFE,True,True,True
T+005.17h,5.167,6.65,-18.0056,52.5,89.5,29.4,32.8,SAFE,True,True,True
T+005.25h,5.25,7.12,5.7062,52.7,90.0,29.4,32.8,SAFE,True,True,True
T+005.33h,5.333,5.37,-20.9902,52.8,90.5,29.3,32.9,SAFE,True,True,True
T+005.42h,5.417,6.35,11.7128,53.0,91.0,29.2,33.0,SAFE,True,True,True
T+005.50h,5.5,7.9,18.6315,53.2,91.5,29.7,33.1,SAFE,True,True,True
T+005.58h,5.583,7.21,-8.2897,53.3,92.0,29.1,33.2,SAFE,True,True,True
T+005.67h,5.667,6.53,-8.139,53.5,92.5,28.2,33.3,SAFE,True,True,True
T+005.75h,5.75,8.58,24.5101,53.7,93.0,28.8,33.4,SAFE,True,True,True
T+005.83h,5.833,6.67,-22.8164,53.8,93.5,28.9,33.5,SAFE,True,True,True
T+005.92h,5.917,7.91,14.856,54.0,94.0,29.6,33.6,SAFE,True,True,True
T+006.00h,6.0,5.6,-27.7285,54.2,94.5,29.5,33.7,SAFE,True,True,True
T+006.08h,6.083,5.23,-4.4153,54.3,95.0,29.1,32.0,SAFE,True,True,True
T+006.17h,6.167,5,-2.8053,54.5,95.5,29.8,27.2,SAFE,True,True,True
T+006.25h,6.25,5,0.0,54.7,96.0,29.1,18.9,SAFE,True,True,True
T+006.33h,6.333,5,0.0,54.8,96.5,29.1,18.9,SAFE,True,True,True
T+006.42h,6.417,5.65,7.8246,55.0,97.0,28.4,33.9,SAFE,True,True,True
T+006.50h,6.5,5.26,-4.6807,55.2,97.5,29.4,33.0,SAFE,True,True,True
T+006.58h,6.583,5,-3.1439,55.3,98,29.1,28.5,SAFE,True,True,True
T+006.67h,6.667,5,0.0,55.5,98,29.3,19.1,SAFE,True,True,True
T+006.75h,6.75,7.23,26.7838,55.7,98,27.9,34.1,SAFE,True,True,True
T+006.83h,6.833,5,-26.7838,55.8,98,29.1,34.2,SAFE,True,True,True
T+006.92h,6.917,5,0.0,56.0,98,30.0,19.2,SAFE,True,True,True
T+007.00h,7.0,5.54,6.5332,56.2,98,29.3,34.3,SAFE,True,True,True
T+007.08h,7.083,7.13,19.022,56.3,98,29.6,34.3,SAFE,True,True,True
T+007.17h,7.167,5,-25.5552,56.5,98,29.1,34.4,SAFE,True,True,True
T+007.25h,7.25,5.4,4.7746,56.7,98,28.8,33.8,SAFE,True,True,True
T+007.33h,7.333,7.05,19.8541,56.8,98,28.6,34.5,SAFE,True,True,True
T+007.42h,7.417,6.12,-11.1366,57.0,98,28.7,34.5,SAFE,True,True,False
T+007.50h,7.5,5.45,-8.0361,57.2,98,28.9,34.6,SAFE,True,True,True
T+007.58h,7.583,5,-5.456,57.3,98,29.0,34.6,SAFE,True,True,True
T+007.67h,7.667,5,0.0,57.5,98,29.8,19.7,SAFE,True,True,True
T+007.75h,7.75,5,0.0,57.7,98,28.6,19.7,SAFE,True,True,True
T+007.83h,7.833,5,0.0,57.8,98,28.8,19.8,SAFE,True,True,True
T+007.92h,7.917,5,0.0,58.0,98,28.7,19.8,SAFE,True,True,True
T+008.00h,8.0,5,0.0,58.2,98,28.4,19.9,SAFE,True,True,True
T+008.08h,8.083,5,0.0,58.3,98,28.7,19.9,SAFE,True,True,True
T+008.17h,8.167,5,0.0,58.5,98,30.0,20.0,SAFE,True,True,True
T+008.25h,8.25,5,0.0,58.7,98,29.0,20.0,SAFE,True,True,True
T+008.33h,8.333,5,0.0,58.8,98,29.1,20.1,SAFE,True,True,True
T+008.42h,8.417,5,0.0,59.0,98,29.2,20.1,SAFE,True,True,True
T+008.50h,8.5,5.39,4.7148,59.2,98,29.0,34.3,SAFE,True,True,True
T+008.58h,8.583,6.03,7.611,59.3,98,29.6,35.2,SAFE,True,True,True
T+008.67h,8.667,5,-12.3259,59.5,98,29.7,35.3,SAFE,True,True,True
T+008.75h,8.75,5,0.0,59.7,98,29.6,20.3,SAFE,True,True,True
T+008.83h,8.833,5,0.0,59.8,98,28.2,20.4,SAFE,True,True,True
T+008.92h,8.917,5.73,8.7202,60.0,98,29.0,35.4,SAFE,True,True,True
T+009.00h,9.0,5,-8.7202,60.2,98,29.0,35.4,SAFE,True,True,False
T+009.08h,9.083,5,0.0,60.3,98,27.9,20.5,SAFE,True,True,True
T+009.17h,9.167,5,0.0,60.5,98,29.7,20.5,SAFE,True,True,True
T+009.25h,9.25,5,0.0,60.7,98,28.7,20.6,SAFE,True,True,True
T+009.33h,9.333,5,0.0,60.8,98,29.1,20.6,SAFE,True,True,True
T+009.42h,9.417,5,0.0,61.0,98,29.2,20.7,SAFE,True,True,True
T+009.50h,9.5,5.38,4.5734,61.2,98,29.2,34.5,SAFE,True,True,True
T+009.58h,9.583,5,-4.5734,61.3,98,28.2,34.5,SAFE,True,True,True
T+009.67h,9.667,5,0.0,61.5,98,28.1,20.8,SAFE,True,True,True
T+009.75h,9.75,5,0.0,61.7,98,29.1,20.9,SAFE,True,True,True
T+009.83h,9.833,5,0.0,61.8,98,29.1,20.9,SAFE,True,True,True
T+009.92h,9.917,5,0.0,62.0,98,29.3,21.0,SAFE,True,True,True
T+010.00h,10.0,5,0.0,62.2,98,28.2,21.0,SAFE,True,True,True
T+010.08h,10.083,5,0.0,62.3,98,28.6,21.1,SAFE,True,True,True
T+010.17h,10.167,5,0.0,62.5,98,29.5,21.1,SAFE,True,True,True
